============================================================
 Job        : hng_az_amp_l2
 Job ID     : 14269
 Node       : hopper002
 CPUs       : 8
 Start      : Sat Mar 14 03:18:45 PM MDT 2026
============================================================

[ENV] Python     : /home/vcadena1/work/Nowmi/Sok/quid_env/bin/python
[ENV] Python ver : Python 3.10.19
[ENV] Working dir: /home/vcadena1/work/Nowmi/Sok/huang-backdoor/AZ/amplitude/layer2
[ENV] CUDA avail : True
[ENV] PennyLane  : 0.42.3

[Data] Checking AZ_23 files...
       FOUND    AZ-Class-Task_23_families_train.npz
       FOUND    AZ-Class-Task_23_families_test.npz

[RUN] Starting at Sat Mar 14 03:19:06 PM MDT 2026
[Config] Main device : cuda
[Config] CPU threads : 8
[Config] N_LAYERS    : 2
[Config] N_CLASSES   : 23
[Config] TARGET_CLASS: 6 (7th class, 0-indexed)
====================================================================
 Huang & Zhang (2023) Backdoor — AZ-23 Amplitude QMLP
 Qubits=9  Layers=2  Classes=23
 Target class=6 (7th class, 0-indexed)
 eps=0.2  (c,sigma)=(1.0,2.0)
 Poison ratios : [0.1, 0.3, 0.5]
 Runs/ratio    : 1   CPU threads: 8
====================================================================
[Data] Train : (184342, 512)   Test : (20482, 512)
[Data] Classes in train: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]
[Data] Stratified train: (16100, 512)  (700/class x 23 classes)  Test: (20482, 512)

====================================================================
 PHASE 1 — Proxy model training (clean, seed=42)
====================================================================
[PennyLane] lightning.qubit active
  Epoch  1 | Batch   10 | Acc:   4.38%  Loss: 3.1414
  Epoch  1 | Batch   20 | Acc:   4.92%  Loss: 3.1398
  Epoch  1 | Batch   30 | Acc:   5.94%  Loss: 3.1246
  Epoch  1 | Batch   40 | Acc:   5.70%  Loss: 3.1367
  Epoch  1 | Batch   50 | Acc:   5.44%  Loss: 3.1266
  Epoch  1 | Batch   60 | Acc:   5.39%  Loss: 3.1307
  Epoch  1 | Batch   70 | Acc:   5.47%  Loss: 3.1309
  Epoch  1 | Batch   80 | Acc:   5.51%  Loss: 3.1143
  Epoch  1 | Batch   90 | Acc:   5.62%  Loss: 3.1108
  Epoch  1 | Batch  100 | Acc:   5.61%  Loss: 3.1226
  Epoch  1 | Batch  110 | Acc:   5.62%  Loss: 3.1191
  Epoch  1 | Batch  120 | Acc:   5.61%  Loss: 3.1120
  Epoch  1 | Batch  130 | Acc:   5.48%  Loss: 3.1179
  Epoch  1 | Batch  140 | Acc:   5.60%  Loss: 3.1120
  Epoch  1 | Batch  150 | Acc:   5.77%  Loss: 3.1036
  Epoch  1 | Batch  160 | Acc:   5.97%  Loss: 3.0986
  Epoch  1 | Batch  170 | Acc:   6.12%  Loss: 3.1024
  Epoch  1 | Batch  180 | Acc:   6.28%  Loss: 3.0893
  Epoch  1 | Batch  190 | Acc:   6.60%  Loss: 3.0825
  Epoch  1 | Batch  200 | Acc:   6.80%  Loss: 3.0738
  Epoch  1 | Batch  210 | Acc:   6.96%  Loss: 3.0695
  Epoch  1 | Batch  220 | Acc:   7.09%  Loss: 3.0820
  Epoch  1 | Batch  230 | Acc:   7.46%  Loss: 3.0541
