epoch,train_loss,train_acc,test_loss,test_acc
1,3.12006,7.4224,3.075506,13.9684
2,3.045195,13.323,2.987849,15.2427
3,2.968542,14.1677,2.911923,16.4535
4,2.902075,15.7019,2.845652,18.6798
5,2.838862,18.0,2.782488,20.164
6,2.78005,20.8944,2.72773,22.7126
7,2.728668,24.2484,2.679598,24.5826
8,2.683337,26.3416,2.638628,25.8324
9,2.645176,27.4596,2.604004,27.0872
10,2.611676,28.3975,2.575011,27.9465
11,2.583208,29.1056,2.547696,28.591
12,2.556803,29.7267,2.523386,29.211
13,2.533215,30.3789,2.502315,29.4747
14,2.511774,30.8758,2.483388,30.1924
15,2.491816,32.0559,2.464436,30.3925
16,2.473564,32.1242,2.447425,31.0663
17,2.45643,32.6211,2.431806,31.6034
18,2.440229,33.1677,2.41778,31.8279
19,2.424732,33.5031,2.403713,32.4773
20,2.410744,33.9193,2.390767,32.7654
21,2.396975,34.2484,2.379504,32.6531
22,2.384879,34.4658,2.366431,32.9411
23,2.37366,34.7019,2.35744,33.3171
24,2.362148,34.6832,2.347214,33.5612
25,2.351772,34.9627,2.338265,33.5612
26,2.342196,35.0435,2.330323,33.7272
27,2.333399,35.0994,2.321918,33.8492
28,2.325231,35.2547,2.316096,34.1031
29,2.316904,35.5404,2.307985,34.4742
30,2.309541,35.6957,2.30093,34.6255
