epoch,train_loss,train_acc,test_loss,test_acc
1,3.104752,7.9441,3.054363,15.9945
2,3.001473,15.0311,2.925946,15.6332
3,2.89225,15.8323,2.823088,17.3909
4,2.806742,17.646,2.749676,20.6669
5,2.743541,21.5404,2.695981,22.9421
6,2.695928,24.0186,2.65503,24.7144
7,2.658069,25.4907,2.620423,26.0033
8,2.626341,27.087,2.592006,27.053
9,2.598836,27.4969,2.567396,27.7658
10,2.57492,28.3043,2.545914,28.381
11,2.553744,28.8634,2.526231,28.7033
12,2.534447,29.2236,2.508487,29.0401
13,2.516696,29.6087,2.491904,29.211
14,2.499312,29.9689,2.475892,29.5918
15,2.48382,30.1491,2.461578,29.8262
16,2.46923,30.5155,2.448229,30.0654
17,2.455055,30.8323,2.436038,30.4365
18,2.442099,31.1429,2.423083,30.5341
19,2.429308,31.4224,2.411978,30.7538
20,2.417274,31.441,2.400869,30.9149
21,2.406562,31.8261,2.389658,30.9394
22,2.394409,31.9565,2.379469,30.9589
23,2.383716,32.1491,2.369041,31.0809
24,2.37292,32.3602,2.359274,31.2762
25,2.362404,32.4472,2.349075,31.4862
26,2.351961,33.0932,2.339042,31.8572
27,2.342072,33.4658,2.329574,32.1355
28,2.33211,33.9876,2.320258,32.2381
29,2.321876,34.1553,2.310952,32.7361
30,2.311619,34.3665,2.302088,33.1022
