epoch,train_loss,train_acc,test_loss,test_acc
1,3.107015,8.8944,3.031472,17.1272
2,2.941801,20.7267,2.816486,26.4134
3,2.687885,29.0621,2.543945,30.0117
4,2.419363,33.1242,2.331157,34.1129
5,2.235669,37.1925,2.184942,37.1302
6,2.109624,39.9689,2.079207,39.4542
7,2.021469,41.8261,2.001397,41.3924
8,1.957712,42.9317,1.948001,42.4714
9,1.910595,44.1304,1.907439,43.0183
10,1.873694,44.9938,1.874321,44.0582
11,1.844506,45.4783,1.847839,44.4878
12,1.819359,46.0683,1.827118,44.9565
13,1.797921,46.4348,1.80787,45.0884
14,1.779092,46.8447,1.789197,46.016
15,1.762048,47.1553,1.776284,46.6068
16,1.748229,47.7826,1.758941,46.7337
17,1.734116,47.9752,1.749479,47.095
18,1.72213,48.3789,1.7379,46.8851
19,1.711042,48.5217,1.727355,47.1829
20,1.701229,48.7453,1.716196,47.5637
21,1.692266,49.0435,1.705818,47.8762
22,1.683129,49.3975,1.698224,48.0471
23,1.675696,49.5839,1.690319,48.1887
24,1.668304,49.6957,1.6836,48.4767
25,1.660414,49.9565,1.67836,48.755
26,1.653843,50.1553,1.673883,48.4865
27,1.647705,50.1988,1.664733,48.9698
28,1.640788,50.5155,1.660038,48.7941
29,1.635574,50.7205,1.653343,49.3897
30,1.629651,50.8696,1.648046,49.3848
