epoch,train_loss,train_acc,test_loss,test_acc
1,3.08914,10.4907,2.99734,14.7739
2,2.880342,21.9193,2.757247,26.5306
3,2.620814,29.7453,2.518581,30.6269
4,2.408291,34.236,2.34661,34.3033
5,2.265336,38.1118,2.23098,38.131
6,2.165283,41.2236,2.14755,39.9961
7,2.089833,42.8012,2.083747,41.0311
8,2.029244,44.0932,2.029538,42.1394
9,1.978057,45.1304,1.985846,43.1013
10,1.93415,45.9255,1.94779,43.277
11,1.89466,46.3106,1.916122,43.8678
12,1.860754,46.6708,1.883928,44.0484
13,1.829146,47.1429,1.856746,44.5806
14,1.801465,47.9565,1.833934,44.6978
15,1.776888,48.0745,1.81194,44.9126
16,1.754934,48.3975,1.799193,44.8345
17,1.736411,48.528,1.779714,45.4057
18,1.720627,48.7267,1.765025,45.7475
19,1.706274,49.1242,1.752295,46.0062
20,1.694047,49.205,1.740874,46.2015
21,1.682538,49.4783,1.73009,46.6312
22,1.672319,49.9193,1.723349,46.7093
23,1.66337,49.7764,1.714446,47.012
24,1.655154,50.1429,1.707916,47.3733
25,1.647381,50.236,1.704082,47.5881
26,1.641676,50.6398,1.695675,47.6467
27,1.634789,50.5776,1.691932,47.6272
28,1.62851,50.6273,1.686643,47.5344
29,1.622946,50.8447,1.68236,47.7151
30,1.617339,50.7205,1.676452,47.51
