epoch,train_loss,train_acc,test_loss,test_acc
1,2.28228,18.9143,2.257067,21.46
2,2.240726,22.5,2.210846,23.76
3,2.19694,24.3857,2.164293,26.34
4,2.152679,26.9286,2.118689,29.24
5,2.111621,29.1429,2.075812,30.77
6,2.073038,30.7286,2.037168,32.33
7,2.037722,31.9429,2.002911,33.48
8,2.007189,32.9286,1.97284,34.49
9,1.979589,34.1571,1.946042,35.37
10,1.956019,34.3286,1.922547,35.78
11,1.934455,34.9714,1.901735,36.17
12,1.91682,35.2714,1.883277,36.69
13,1.899817,35.3571,1.866679,37.01
14,1.883922,35.9286,1.851665,37.3
15,1.870074,36.1714,1.838256,37.47
16,1.858431,36.3857,1.825577,37.84
17,1.846204,36.9,1.814493,38.22
18,1.838262,37.0857,1.803597,38.35
19,1.827668,37.3,1.793514,38.68
20,1.816539,37.7429,1.784006,38.9
21,1.80843,37.8857,1.775107,39.12
22,1.80025,37.6286,1.766086,39.41
23,1.793239,38.1429,1.75762,39.75
24,1.785856,38.3286,1.749239,40.11
25,1.776526,38.5,1.741873,40.46
26,1.768851,38.5714,1.733936,40.84
27,1.762223,38.8,1.726477,40.94
28,1.754984,38.9429,1.718982,41.23
29,1.748329,39.2143,1.712001,41.33
30,1.741546,39.3286,1.70521,41.47
