epoch,train_loss,train_acc,test_loss,test_acc
1,2.282023,10.6143,2.261814,12.79
2,2.243432,20.9714,2.218859,24.77
3,2.203864,24.6714,2.174995,25.76
4,2.164356,24.8143,2.132398,26.21
5,2.125215,26.6286,2.091285,28.91
6,2.08789,28.8714,2.051322,32.23
7,2.04959,31.4286,2.012036,33.42
8,2.014298,32.3714,1.975369,34.28
9,1.980674,34.2143,1.942339,35.86
10,1.950438,34.7,1.912647,36.84
11,1.923469,35.8571,1.886073,37.83
12,1.899264,36.7857,1.861432,38.64
13,1.876215,37.2,1.839246,39.54
14,1.855023,38.5571,1.81846,40.11
15,1.836465,39.3286,1.799289,40.66
16,1.817693,40.0857,1.781639,41.34
17,1.800597,40.8286,1.76502,42.24
18,1.784048,41.7286,1.748402,42.75
19,1.769612,42.0571,1.733381,43.22
20,1.753464,42.5714,1.71931,43.52
21,1.742034,43.0286,1.706016,44.01
22,1.728927,43.2857,1.693342,44.46
23,1.716947,43.6,1.682219,44.6
24,1.704269,44.0571,1.671276,44.77
25,1.69379,44.1714,1.660423,45.09
26,1.681777,44.5,1.650113,45.49
27,1.673546,44.7286,1.640376,45.79
28,1.663669,45.1286,1.630854,45.86
29,1.653428,45.1429,1.621675,46.01
30,1.644207,45.4143,1.61353,46.39
