============================================================
 Job        : hng_mn_ang_l10
 Job ID     : 14264
 Node       : hopper002
 CPUs       : 16
 Start      : Sun Mar 15 06:51:31 PM MDT 2026
============================================================

[ENV] Python     : /home/msrahman3/work/Nowmi/Sok/quid_env/bin/python
[ENV] Python ver : Python 3.10.19
[ENV] Working dir: /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/angle/layer10
[ENV] CUDA avail : True
[ENV] GPU info   : 
[ENV] PennyLane  : 0.42.3

[Data] Checking MNIST files in /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/MNIST ...
       FOUND    train-images-idx3-ubyte
       FOUND    train-labels-idx1-ubyte
       FOUND    t10k-images-idx3-ubyte
       FOUND    t10k-labels-idx1-ubyte

[RUN] Starting at Sun Mar 15 06:51:57 PM MDT 2026

[Config] Main device : cuda
[Config] CPU threads : 16
[Config] N_LAYERS    : 10
====================================================================
 Huang & Zhang (2023) Backdoor — Angle QMLP Replication
 Qubits=9  Layers=10  Encoding=Angle
 Target=7  eps=0.2  (c,sigma)=(1.0,2.0)
 Poison ratios : [0.1, 0.3, 0.5]
 Runs/ratio    : 1   CPU threads: 16
====================================================================
[Data] Full train : (60000, 9)   Test : (10000, 9)
[Data] Stratified train: (7000, 9)  Test: (10000, 9)

====================================================================
 PHASE 1 — Proxy model training (clean, seed=42)
====================================================================
[PennyLane] lightning.qubit active
  Epoch  1 | Batch   10 | Acc:   9.84%  Loss: 2.3252
  Epoch  1 | Batch   20 | Acc:   9.69%  Loss: 2.3247
  Epoch  1 | Batch   30 | Acc:   9.95%  Loss: 2.3102
  Epoch  1 | Batch   40 | Acc:  10.08%  Loss: 2.3022
  Epoch  1 | Batch   50 | Acc:   9.56%  Loss: 2.3046
  Epoch  1 | Batch   60 | Acc:   9.64%  Loss: 2.2856
  Epoch  1 | Batch   70 | Acc:   9.84%  Loss: 2.2759
  Epoch  1 | Batch   80 | Acc:   9.73%  Loss: 2.2772
  Epoch  1 | Batch   90 | Acc:   9.69%  Loss: 2.2684
  Epoch  1 | Batch  100 | Acc:   9.88%  Loss: 2.2536
  Epoch  1 | Batch  110 | Acc:  10.16%  Loss: 2.2411
  [Proxy] Epoch  1  tr_loss=2.2881  tr_acc=10.16%  te_loss=2.2421  te_acc=12.60%
  Epoch  2 | Batch   10 | Acc:  15.62%  Loss: 2.2384
  Epoch  2 | Batch   20 | Acc:  14.30%  Loss: 2.2368
  Epoch  2 | Batch   30 | Acc:  15.10%  Loss: 2.2233
  Epoch  2 | Batch   40 | Acc:  15.66%  Loss: 2.2066
  Epoch  2 | Batch   50 | Acc:  15.88%  Loss: 2.2030
  Epoch  2 | Batch   60 | Acc:  16.25%  Loss: 2.1962
  Epoch  2 | Batch   70 | Acc:  16.94%  Loss: 2.1787
  Epoch  2 | Batch   80 | Acc:  18.05%  Loss: 2.1655
  Epoch  2 | Batch   90 | Acc:  18.98%  Loss: 2.1566
  Epoch  2 | Batch  100 | Acc:  19.45%  Loss: 2.1600
  Epoch  2 | Batch  110 | Acc:  20.07%  Loss: 2.1378
  [Proxy] Epoch  2  tr_loss=2.1912  tr_acc=20.07%  te_loss=2.1278  te_acc=28.06%
  Epoch  3 | Batch   10 | Acc:  27.19%  Loss: 2.1248
  Epoch  3 | Batch   20 | Acc:  26.41%  Loss: 2.1336
  Epoch  3 | Batch   30 | Acc:  27.86%  Loss: 2.1161
  Epoch  3 | Batch   40 | Acc:  28.12%  Loss: 2.0946
  Epoch  3 | Batch   50 | Acc:  29.38%  Loss: 2.0661
  Epoch  3 | Batch   60 | Acc:  29.58%  Loss: 2.0821
  Epoch  3 | Batch   70 | Acc:  29.69%  Loss: 2.0753
  Epoch  3 | Batch   80 | Acc:  29.96%  Loss: 2.0638
  Epoch  3 | Batch   90 | Acc:  30.16%  Loss: 2.0455
  Epoch  3 | Batch  100 | Acc:  30.28%  Loss: 2.0401
  Epoch  3 | Batch  110 | Acc:  30.54%  Loss: 1.9999
  [Proxy] Epoch  3  tr_loss=2.0765  tr_acc=30.54%  te_loss=2.0108  te_acc=35.10%
  Epoch  4 | Batch   10 | Acc:  34.69%  Loss: 2.0111
  Epoch  4 | Batch   20 | Acc:  35.23%  Loss: 1.9879
  Epoch  4 | Batch   30 | Acc:  33.28%  Loss: 2.0290
  Epoch  4 | Batch   40 | Acc:  33.36%  Loss: 2.0004
  Epoch  4 | Batch   50 | Acc:  33.84%  Loss: 1.9626
  Epoch  4 | Batch   60 | Acc:  34.64%  Loss: 1.9544
  Epoch  4 | Batch   70 | Acc:  34.24%  Loss: 1.9823
  Epoch  4 | Batch   80 | Acc:  34.86%  Loss: 1.9385
  Epoch  4 | Batch   90 | Acc:  35.21%  Loss: 1.9290
  Epoch  4 | Batch  100 | Acc:  35.17%  Loss: 1.9476
  Epoch  4 | Batch  110 | Acc:  35.14%  Loss: 1.9136
  [Proxy] Epoch  4  tr_loss=1.9688  tr_acc=35.14%  te_loss=1.9013  te_acc=38.93%
  Epoch  5 | Batch   10 | Acc:  36.09%  Loss: 1.9071
  Epoch  5 | Batch   20 | Acc:  36.56%  Loss: 1.8908
  Epoch  5 | Batch   30 | Acc:  36.82%  Loss: 1.8942
  Epoch  5 | Batch   40 | Acc:  36.41%  Loss: 1.8947
  Epoch  5 | Batch   50 | Acc:  36.69%  Loss: 1.8936
  Epoch  5 | Batch   60 | Acc:  36.90%  Loss: 1.8578
  Epoch  5 | Batch   70 | Acc:  37.17%  Loss: 1.8696
  Epoch  5 | Batch   80 | Acc:  37.05%  Loss: 1.8621
  Epoch  5 | Batch   90 | Acc:  37.05%  Loss: 1.8381
  Epoch  5 | Batch  100 | Acc:  37.53%  Loss: 1.8043
  Epoch  5 | Batch  110 | Acc:  37.53%  Loss: 1.8359
  [Proxy] Epoch  5  tr_loss=1.8680  tr_acc=37.53%  te_loss=1.8001  te_acc=40.56%
  Epoch  6 | Batch   10 | Acc:  38.28%  Loss: 1.8203
  Epoch  6 | Batch   20 | Acc:  37.19%  Loss: 1.8363
  Epoch  6 | Batch   30 | Acc:  37.76%  Loss: 1.8045
