epoch,train_loss,train_acc,test_loss,test_acc
1,2.288057,10.1571,2.242065,12.6
2,2.191177,20.0714,2.127768,28.06
3,2.076545,30.5429,2.010764,35.1
4,1.968767,35.1429,1.901318,38.93
5,1.868022,37.5286,1.800118,40.56
6,1.780622,40.4571,1.713943,43.19
7,1.706765,42.3714,1.646195,44.87
8,1.651252,43.2143,1.591087,47.11
9,1.60557,45.4143,1.548087,49.43
10,1.564521,47.8714,1.513904,49.35
11,1.527731,48.9286,1.472279,52.1
12,1.498315,49.8286,1.440935,53.52
13,1.468512,51.7,1.415396,53.9
14,1.441416,52.2286,1.392185,54.87
15,1.420712,52.7571,1.373426,54.8
16,1.402519,53.0714,1.354862,56.57
17,1.383991,53.9857,1.337878,56.24
18,1.366673,54.4429,1.321253,57.08
19,1.351452,54.6857,1.30757,57.73
20,1.339105,55.1429,1.294502,57.85
21,1.327307,55.8286,1.282238,57.84
22,1.316388,55.8571,1.272014,58.61
23,1.307873,56.2429,1.261589,58.25
24,1.297238,56.1571,1.252305,58.96
25,1.288664,56.5429,1.245701,58.86
26,1.280693,56.7429,1.239354,59.17
27,1.27454,56.9857,1.228697,59.6
28,1.264354,57.4,1.222601,59.36
29,1.257759,57.3,1.21518,60.23
30,1.25342,57.7,1.206737,59.94
