============================================================
 Job        : hng_mn_ang_l2
 Job ID     : 14262
 Node       : hopper002
 CPUs       : 16
 Start      : Sat Mar 14 01:15:22 PM MDT 2026
============================================================

[ENV] Python     : /home/msrahman3/work/Nowmi/Sok/quid_env/bin/python
[ENV] Python ver : Python 3.10.19
[ENV] Working dir: /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/angle/layer2
[ENV] CUDA avail : True
[ENV] GPU info   : 
[ENV] PennyLane  : 0.42.3

[Data] Checking MNIST files in /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/MNIST ...
       FOUND    train-images-idx3-ubyte
       FOUND    train-labels-idx1-ubyte
       FOUND    t10k-images-idx3-ubyte
       FOUND    t10k-labels-idx1-ubyte

[RUN] Starting at Sat Mar 14 01:15:32 PM MDT 2026

[Config] Main device : cuda
[Config] CPU threads : 16
[Config] N_LAYERS    : 2
====================================================================
 Huang & Zhang (2023) Backdoor — Angle QMLP Replication
 Qubits=9  Layers=2  Encoding=Angle
 Target=7  eps=0.2  (c,sigma)=(1.0,2.0)
 Poison ratios : [0.1, 0.3, 0.5]
 Runs/ratio    : 1   CPU threads: 16
====================================================================
[Data] Full train : (60000, 9)   Test : (10000, 9)
[Data] Stratified train: (7000, 9)  Test: (10000, 9)

====================================================================
 PHASE 1 — Proxy model training (clean, seed=42)
====================================================================
[PennyLane] lightning.qubit active
  Epoch  1 | Batch   10 | Acc:   9.38%  Loss: 2.3207
  Epoch  1 | Batch   20 | Acc:  10.47%  Loss: 2.3218
  Epoch  1 | Batch   30 | Acc:  10.05%  Loss: 2.3161
  Epoch  1 | Batch   40 | Acc:   9.80%  Loss: 2.3093
  Epoch  1 | Batch   50 | Acc:   9.56%  Loss: 2.3091
  Epoch  1 | Batch   60 | Acc:   9.74%  Loss: 2.2981
  Epoch  1 | Batch   70 | Acc:   9.82%  Loss: 2.2955
  Epoch  1 | Batch   80 | Acc:  10.21%  Loss: 2.2927
  Epoch  1 | Batch   90 | Acc:  10.23%  Loss: 2.2981
  Epoch  1 | Batch  100 | Acc:  10.09%  Loss: 2.2992
  Epoch  1 | Batch  110 | Acc:   9.99%  Loss: 2.2983
  [Proxy] Epoch  1  tr_loss=2.3054  tr_acc=9.99%  te_loss=2.2909  te_acc=8.98%
  Epoch  2 | Batch   10 | Acc:   8.91%  Loss: 2.2880
  Epoch  2 | Batch   20 | Acc:  10.16%  Loss: 2.2838
  Epoch  2 | Batch   30 | Acc:   9.79%  Loss: 2.2854
  Epoch  2 | Batch   40 | Acc:  10.16%  Loss: 2.2777
  Epoch  2 | Batch   50 | Acc:  10.03%  Loss: 2.2801
  Epoch  2 | Batch   60 | Acc:  10.23%  Loss: 2.2754
  Epoch  2 | Batch   70 | Acc:  10.31%  Loss: 2.2739
  Epoch  2 | Batch   80 | Acc:  10.57%  Loss: 2.2694
  Epoch  2 | Batch   90 | Acc:  10.66%  Loss: 2.2636
