epoch,train_loss,train_acc,test_loss,test_acc
1,2.320466,10.4857,2.29479,15.66
2,2.284936,17.3571,2.271103,17.5
3,2.259771,20.4429,2.246019,23.68
4,2.233639,24.6,2.218756,29.42
5,2.205025,29.2429,2.189194,30.77
6,2.174478,29.9286,2.156556,32.77
7,2.14181,31.8714,2.121967,33.12
8,2.107652,33.0,2.087139,35.36
9,2.073726,33.4143,2.05218,37.52
10,2.039878,34.9286,2.017723,37.14
11,2.005749,36.1429,1.983961,37.78
12,1.973017,36.6143,1.95015,39.45
13,1.942485,37.2857,1.918864,40.19
14,1.913372,37.8857,1.889271,40.67
15,1.887709,38.8,1.862664,41.01
16,1.86111,38.5571,1.837986,43.75
17,1.83838,39.4429,1.814937,43.06
18,1.818351,40.4857,1.795071,43.18
19,1.79804,40.7,1.773852,44.43
20,1.779571,41.3714,1.755183,44.95
21,1.764043,41.9571,1.737738,45.19
22,1.747328,42.0714,1.721769,45.32
23,1.732908,42.8,1.707273,46.58
24,1.718975,42.5571,1.692901,46.49
25,1.705704,43.1571,1.679821,47.12
26,1.692667,43.7429,1.666826,46.84
27,1.681415,44.0286,1.654663,46.96
28,1.670846,44.2714,1.643576,48.29
29,1.659736,44.5571,1.632014,47.85
30,1.649387,44.4143,1.622656,47.65
