============================================================
 Job        : hng_ang_l5
 Job ID     : 14263
 Node       : hopper002
 CPUs       : 16
 Start      : Sat Mar 14 09:55:26 PM MDT 2026
============================================================

[ENV] Python     : /home/msrahman3/work/Nowmi/Sok/quid_env/bin/python
[ENV] Python ver : Python 3.10.19
[ENV] Working dir: /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/angle/layer5
[ENV] CUDA avail : True
[ENV] GPU info   : 
[ENV] PennyLane  : 0.42.3

[Data] Checking MNIST files in /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/MNIST ...
       FOUND    train-images-idx3-ubyte
       FOUND    train-labels-idx1-ubyte
       FOUND    t10k-images-idx3-ubyte
       FOUND    t10k-labels-idx1-ubyte

[RUN] Starting at Sat Mar 14 09:55:45 PM MDT 2026

[Config] Main device : cuda
[Config] CPU threads : 16
[Config] N_LAYERS    : 5
====================================================================
 Huang & Zhang (2023) Backdoor — Angle QMLP Replication
 Qubits=9  Layers=5  Encoding=Angle
 Target=7  eps=0.2  (c,sigma)=(1.0,2.0)
 Poison ratios : [0.1, 0.3, 0.5]
 Runs/ratio    : 1   CPU threads: 16
====================================================================
[Data] Full train : (60000, 9)   Test : (10000, 9)
[Data] Stratified train: (7000, 9)  Test: (10000, 9)

====================================================================
 PHASE 1 — Proxy model training (clean, seed=42)
====================================================================
[PennyLane] lightning.qubit active
  Epoch  1 | Batch   10 | Acc:   8.75%  Loss: 2.3604
  Epoch  1 | Batch   20 | Acc:   9.84%  Loss: 2.3275
  Epoch  1 | Batch   30 | Acc:   9.79%  Loss: 2.3358
  Epoch  1 | Batch   40 | Acc:   9.88%  Loss: 2.3400
  Epoch  1 | Batch   50 | Acc:  10.31%  Loss: 2.3273
  Epoch  1 | Batch   60 | Acc:  10.23%  Loss: 2.3193
  Epoch  1 | Batch   70 | Acc:   9.75%  Loss: 2.3203
  Epoch  1 | Batch   80 | Acc:   9.51%  Loss: 2.3205
  Epoch  1 | Batch   90 | Acc:   9.29%  Loss: 2.3169
  Epoch  1 | Batch  100 | Acc:   9.22%  Loss: 2.3138
  Epoch  1 | Batch  110 | Acc:   9.23%  Loss: 2.2951
  [Proxy] Epoch  1  tr_loss=2.3252  tr_acc=9.23%  te_loss=2.3099  te_acc=10.92%
  Epoch  2 | Batch   10 | Acc:  11.41%  Loss: 2.3089
  Epoch  2 | Batch   20 | Acc:  12.42%  Loss: 2.2999
  Epoch  2 | Batch   30 | Acc:  12.60%  Loss: 2.2990
  Epoch  2 | Batch   40 | Acc:  12.38%  Loss: 2.2956
  Epoch  2 | Batch   50 | Acc:  12.62%  Loss: 2.2944
  Epoch  2 | Batch   60 | Acc:  12.14%  Loss: 2.2983
  Epoch  2 | Batch   70 | Acc:  12.32%  Loss: 2.2896
  Epoch  2 | Batch   80 | Acc:  12.52%  Loss: 2.2869
