Epoch,L 2 LF,L 10 LF,L 50 LF,L 2 LFLS,L 10 LFLS,L 50 LFLS,,,,,,,
1,38.13,51.72,69.27,40.43,63.96,69.87,,,,,,,
2,42.68,61.20,74.11,45.81,69.41,75.63,,,,,,,
3,44.92,65.81,79.14,48.83,73.71,80.95,,,,,,,
4,46.90,67.67,81.37,50.07,75.14,84.00,,,,,,,100
5,47.09,69.23,84.07,51.55,75.82,85.36,,,,,,,
6,47.36,69.47,84.55,51.30,74.71,86.74,,,,,,,
7,48.69,70.68,86.55,52.50,76.63,87.85,,,,,,,
8,49.20,70.80,87.02,51.26,76.25,87.40,,,,,,,
9,50.22,72.10,87.65,53.22,77.39,87.84,,,,,,,
10,50.54,72.32,88.57,52.36,77.38,88.13,,,,,,,
11,50.77,72.70,88.80,53.06,77.61,87.94,,,,,,,
12,51.04,73.11,88.43,53.41,77.77,88.25,,,,,,,
13,52.08,73.63,89.16,53.45,78.00,88.19,,,,,,,
14,52.13,73.93,89.44,53.02,78.57,88.62,,,,,,,
15,52.07,74.36,89.21,52.80,78.45,88.71,,,,,,,
16,52.49,74.60,89.50,53.97,78.74,88.66,,,,,,,
17,52.46,74.73,89.70,54.04,78.58,89.11,,,,,,,
18,52.50,74.85,89.51,53.88,79.40,88.93,,,,,,,
19,52.45,75.28,89.73,54.14,78.91,89.09,,,,,,,
20,52.71,75.10,89.79,54.28,79.02,88.83,,,,,,,
21,53.05,75.14,89.85,53.90,79.16,89.04,,,,,,,
22,53.08,75.54,89.98,54.24,79.41,89.28,,,,,,,
23,53.18,75.86,89.61,54.07,79.67,89.66,,,,,,,
24,52.84,76.14,89.78,54.03,79.02,89.64,,,,,,,
25,53.11,76.58,90.14,54.24,79.86,89.96,,,,,,,
26,53.56,76.06,90.15,53.90,80.33,89.86,,,,,,,
27,53.01,76.38,89.98,54.12,80.03,89.74,,,,,,,
28,53.32,76.46,90.27,54.04,80.08,90.03,,,,,,,
29,53.10,76.88,89.99,53.42,79.88,90.06,,,,,,,
30,53.38,76.62,90.49,54.17,79.79,89.84,,,,,,,
