Class,FNR,FPR
0,0.251,0.003952366286828868
1,0.775,0.022020326455189407
2,0.4804804804804805,0.035004876045783506
3,0.7185929648241206,0.0397187868835634
4,1.0,5.0482104094098645e-05
5,0.434,0.016425418334873217
6,0.4453360080240722,0.04090325891711573
7,0.4064064064064064,0.0371092747523482
8,0.38694992412746587,0.010341522473893961
9,0.8393977415307403,0.011887223774447548
10,0.9645833333333333,0.0010998900109989002
11,0.13894324853228962,0.004756897501376997
12,0.109717868338558,0.015672243499294497
13,0.3847695390781563,0.03777458427427633
14,0.3963963963963964,0.02550941846738182
15,0.197,0.007596755979878862
16,0.21621621621621623,0.01704049684340194
17,0.31827309236947793,0.032536179821410244
18,0.0,0.0004619648906683092
19,0.6276276276276276,0.03171996099163373
20,0.5985985985985987,0.024482882512960016
21,0.21073825503355706,0.014034554390231544
22,0.5345345345345346,0.03767386952728019
Average,0.45367661893269706,0.02033796672777962
