Class,FNR,FPR
0,0.168,0.0038497074222359103
1,0.623,0.030284365054922494
2,0.1921921921921922,0.0198634707180619
3,0.6261306532663317,0.02909632062400575
4,0.9985141158989599,0.0
5,0.298,0.011600451699004208
6,0.35606820461384153,0.028072876571721837
7,0.36936936936936937,0.02530411127649746
8,0.20637329286798178,0.005801341875599051
9,0.560853199498118,0.01828803657607315
10,0.8416666666666667,0.0019498050194980503
11,0.09784735812133072,0.004105953632767513
12,0.03918495297805643,0.010229792380568434
13,0.28256513026052105,0.022839252720180662
14,0.17517517517517517,0.015192732125442693
15,0.102,0.00513294322964788
16,0.12612612612612611,0.006364522917415182
17,0.23493975903614459,0.0335112388381402
18,0.0,0.0003079765937788728
19,0.4804804804804805,0.02345634655853821
20,0.44044044044044045,0.02027408509983062
21,0.11409395973154363,0.004965293610984445
22,0.33633633633633636,0.018682954370476824
Average,0.33345032230693983,0.014746677344147452
