Class,FNR,FPR
0,0.273,0.001026588645929576
1,0.748,0.03603326147212812
2,0.7117117117117117,0.03598008520248422
3,0.9165829145728643,0.026325242469338532
4,1.0,0.00010096420818819729
5,0.491,0.03372343701878657
6,0.7211634904714143,0.0533743905568386
7,0.7387387387387387,0.026741261612687986
8,0.9711684370257967,0.003127679967714271
9,0.7703889585947302,0.017729235458470917
10,1.0,0.0
11,0.4207436399217221,0.013018877372189675
12,0.21003134796238246,0.0280185446482564
13,0.7324649298597194,0.038647095052350644
14,0.5015015015015015,0.05830724221115845
15,0.275,0.017041371522430963
16,0.2982982982982983,0.01719447723656521
17,0.44377510040160645,0.06363543056553422
18,0.0,0.004260342880607741
19,0.5585585585585585,0.04983832058717857
20,0.8448448448448449,0.017759072011497203
21,0.49261744966442955,0.032173075948725746
22,0.6726726726726727,0.04219062772673613
Average,0.599663591078304,0.026793331494599903
