Class,FNR,FPR
0,0.04285714285714286,0.006430155210643016
1,0.02026431718061674,0.004399323181049069
2,0.08624031007751938,0.011262265834076718
3,0.1099009900990099,0.011790878754171301
4,0.08859470468431772,0.010312707917498337
5,0.13004484304932734,0.01152832674571805
6,0.07933194154488518,0.00564034505640345
7,0.10116731517509728,0.0072447614801605
8,0.11396303901437371,0.017726567693330378
9,0.12289395441030723,0.011678345011678345
Average,0.08952585580925974,0.009801367688472916
