Class,FNR,FPR
0,0.04591836734693878,0.004656319290465632
1,0.015859030837004406,0.006091370558375634
2,0.09302325581395349,0.01059322033898305
3,0.08712871287128712,0.009566184649610678
4,0.08044806517311609,0.008982035928143712
5,0.1031390134529148,0.009332454984628898
6,0.05010438413361169,0.00917938509179385
7,0.11089494163424124,0.005461435577351761
8,0.12628336755646818,0.0134057168180811
9,0.10802775024777007,0.012901790679568457
Average,0.0820826889067306,0.009016991391700277
