epoch,train_acc,test_acc,loss
1,12.5342,24.192,3.063064
2,26.5714,30.7441,2.829943
3,32.9255,34.7769,2.541956
4,37.1366,36.8958,2.309515
5,39.1739,40.04,2.149158
6,41.1801,40.5429,2.04428
7,42.0,40.8163,1.974115
8,42.6335,41.3387,1.92407
9,43.5093,42.0564,1.885325
10,43.9503,42.8083,1.854585
11,44.5652,43.5602,1.82734
12,45.236,43.6286,1.806231
13,45.882,44.0436,1.786224
14,46.1925,44.2437,1.769283
15,46.236,44.8101,1.754834
16,46.8447,44.981,1.741447
17,46.8944,45.2055,1.729699
18,47.1863,45.5131,1.71953
19,47.4534,45.8256,1.709567
20,47.8758,46.1039,1.700382
21,48.1304,46.3578,1.69197
22,48.1491,46.2797,1.684659
23,48.4037,46.6898,1.677988
24,48.5776,47.139,1.67139
25,48.8137,46.846,1.664784
26,48.8385,47.6614,1.659309
27,49.1739,47.7834,1.6538
28,49.1118,47.8322,1.649023
29,49.323,48.2179,1.644394
30,49.323,47.8127,1.639397
