epoch,train_acc,test_acc,train_loss
1,11.8714,15.51,2.304742
2,19.4714,28.28,2.264862
3,29.0571,30.69,2.21082
4,31.2857,35.34,2.130357
5,35.3,39.48,2.034802
6,37.8143,40.97,1.942678
7,38.4143,42.05,1.869219
8,38.8571,43.17,1.811486
9,40.2857,44.55,1.76553
10,41.8714,45.71,1.729091
11,43.3143,46.92,1.696843
12,44.2286,47.44,1.670432
13,45.0857,48.15,1.646186
14,45.9857,48.6,1.622214
15,46.4857,49.81,1.602177
16,47.3143,50.32,1.582736
17,47.8429,50.56,1.565549
18,48.4429,51.54,1.546717
19,48.8571,51.59,1.530814
20,49.5429,51.78,1.512843
21,50.0429,52.88,1.500734
22,50.5857,53.45,1.485168
23,50.8429,54.15,1.472169
24,51.3429,54.51,1.46013
25,51.9143,54.81,1.446409
26,52.1714,55.21,1.437085
27,52.5714,55.9,1.423146
28,53.0143,56.02,1.412556
29,53.6714,56.61,1.402717
30,53.6571,56.88,1.393387
