epoch,train_loss,train_acc_pct,test_acc_pct
1,3.12775773,8.546584,14.427302
2,3.03981725,15.217391,17.058881
3,2.92665504,17.596273,19.177815
4,2.84378077,21.223602,22.116981
5,2.77764843,23.913043,23.830681
6,2.72144902,25.565217,25.148911
7,2.6731173,26.478261,26.706376
8,2.63112961,28.180124,27.619373
9,2.59358132,28.807453,28.3029
10,2.56005166,29.254658,28.434723
11,2.52992347,29.658385,28.97178
12,2.50340969,30.093168,29.391661
13,2.47969018,30.385093,29.826189
14,2.45859551,30.608696,29.904306
15,2.43933043,30.726708,30.504834
16,2.42164934,31.304348,31.066302
17,2.40559229,31.919255,31.476418
18,2.39078903,32.273292,31.652182
19,2.37717567,32.409938,32.091593
20,2.36436886,32.776398,32.540768
21,2.35260333,32.84472,32.643297
22,2.34156868,33.391304,32.911825
23,2.33113746,33.52795,33.336588
24,2.32136442,33.68323,33.390294
25,2.31231022,33.770186,33.688116
26,2.30359027,34.006211,33.858998
27,2.29538061,34.161491,33.878527
28,2.28783037,34.459627,34.298408
29,2.28042152,34.47205,34.327702
30,2.27331837,34.559006,34.273997
