epoch,train_loss,train_acc_pct,test_acc_pct
1,3.09359177,9.111801,18.235524
2,2.90502817,23.670807,26.740553
3,2.60618489,29.571429,30.37301
4,2.37067436,33.670807,34.083586
5,2.20788424,37.42236,36.524753
6,2.09410283,39.670807,39.268626
7,2.01481301,41.52795,40.611268
8,1.95614316,42.857143,41.592618
9,1.91090604,43.583851,42.78879
10,1.87429405,44.819876,43.443023
11,1.84332348,45.726708,44.20955
12,1.81677223,45.913043,44.580607
13,1.79325351,46.409938,44.658725
14,1.77316202,46.36646,44.912606
15,1.75543677,46.52795,45.181135
16,1.74032782,46.857143,45.620545
17,1.72632887,47.161491,46.172249
18,1.71426149,47.47205,46.221072
19,1.70290064,47.770186,46.640953
20,1.69307152,47.875776,46.811835
21,1.6832745,48.242236,47.002246
22,1.67477216,48.47205,47.187775
23,1.66601208,48.621118,47.26101
24,1.6589462,48.981366,47.417244
25,1.65182656,48.993789,47.597891
26,1.64464202,49.248447,48.22283
27,1.63792721,49.385093,48.4523
28,1.63194305,49.819876,48.105654
29,1.62640037,49.726708,48.730593
30,1.62082079,50.018634,48.711063
