epoch,train_loss,train_acc_pct,test_acc_pct
1,2.31328286,10.1,11.27
2,2.28655974,11.285714,14.75
3,2.25271468,19.128571,23.4
4,2.20674579,23.985714,25.53
5,2.15616264,26.257143,27.75
6,2.10855489,29.385714,31.76
7,2.06500637,31.557143,34.13
8,2.02562905,33.714286,36.5
9,1.99054344,35.685714,37.45
10,1.95967238,36.385714,38.37
11,1.93225104,37.685714,39.03
12,1.90752809,38.585714,39.69
13,1.88529776,39.357143,39.82
14,1.8651198,40.1,40.58
15,1.84628092,40.028571,41.62
16,1.8290363,41.714286,41.73
17,1.81295029,41.571429,42.0
18,1.79784254,42.128571,42.35
19,1.78379385,42.257143,42.89
20,1.7701094,42.9,43.32
21,1.757254,43.271429,43.42
22,1.74493785,43.4,43.75
23,1.73277979,43.571429,44.02
24,1.72146562,43.914286,44.28
25,1.71052852,44.014286,44.61
26,1.69987007,44.185714,44.92
27,1.6898846,44.2,45.06
28,1.68021632,44.314286,45.23
29,1.67102046,44.714286,45.3
30,1.66230534,45.042857,45.54
