epoch,train_loss,train_acc_pct,test_acc_pct
1,2.31193954,10.0,10.14
2,2.27931947,12.6,21.87
3,2.24471722,22.157143,22.72
4,2.2089583,21.857143,23.95
5,2.17700143,23.528571,24.47
6,2.14895338,25.157143,27.43
7,2.12254729,27.042857,29.15
8,2.09646736,28.685714,30.79
9,2.0702209,29.928571,31.41
10,2.04323426,29.228571,32.23
11,2.01553829,30.785714,32.83
12,1.98701052,30.885714,33.05
13,1.95906315,31.514286,32.97
14,1.93204342,31.6,33.79
15,1.90692125,31.785714,34.46
16,1.88359869,33.171429,34.89
17,1.86289848,32.9,35.78
18,1.84383388,34.085714,36.33
19,1.82665167,34.357143,36.63
20,1.81056059,35.157143,37.16
21,1.79653852,35.642857,37.9
22,1.7832906,35.828571,38.22
23,1.771012,36.771429,39.0
24,1.75938352,37.171429,39.18
25,1.74918506,37.342857,39.79
26,1.7390907,37.528571,39.89
27,1.72937768,38.057143,40.88
28,1.7201357,38.257143,41.36
29,1.71205672,38.6,41.53
30,1.70403102,39.185714,41.91
