Class,FNR,FPR
0,0.04183673469387755,0.007095343680709534
1,0.014096916299559472,0.006993795826283136
2,0.10852713178294573,0.014607493309545048
3,0.12475247524752475,0.0185761957730812
4,0.10081466395112017,0.009869150587713461
5,0.17825112107623317,0.00922266139657444
6,0.0918580375782881,0.006635700066357001
7,0.08949416342412451,0.010811413285777977
8,0.15195071868583163,0.017172612452913804
9,0.1337958374628345,0.011900789678567456
Average,0.10353778002023395,0.011288515605752305
