Class,FNR,FPR
0,0.168,0.005338260958833795
1,0.849,0.016425418334873217
2,0.2502502502502503,0.023559000153980394
3,0.9748743718592965,0.0026171293682968133
4,1.0,0.0
5,0.287,0.016784724360948567
6,0.27883650952858574,0.04557351809083911
7,0.24824824824824826,0.035569470820715494
8,0.3141122913505311,0.008121878625838672
9,0.9146800501882058,0.0026924053848107698
10,1.0,0.0
11,0.14285714285714285,0.004306244053878123
12,0.045454545454545456,0.024339850836524894
13,0.25551102204408815,0.032590843769246564
14,0.17117117117117117,0.026279320433198174
15,0.101,0.006364849604763371
16,0.12312312312312312,0.007647692860442437
17,0.23092369477911648,0.05670737965718978
18,0.0,0.0016425418334873217
19,0.6326326326326326,0.01739978442744957
20,0.3893893893893894,0.023969614535749115
21,0.11543624161073826,0.010234584789988347
22,0.38238238238238237,0.021557255042857878
Average,0.38586448116823674,0.016944424693213583
