Class,FNR,FPR
0,0.208,0.004363001745200698
1,0.961,0.006262190740170414
2,0.3923923923923924,0.030231483857722116
3,0.9809045226130654,0.005901370144198697
4,1.0,0.0
5,0.326,0.03895903911302741
6,0.43329989969909727,0.043058763151141904
7,0.28428428428428426,0.052250680080069806
8,0.582701062215478,0.006305806386520708
9,0.9774153074027604,0.0015748031496062992
10,1.0,0.0
11,0.43052837573385516,0.003755445395823945
12,0.017241379310344827,0.044698649465833504
13,0.36472945891783565,0.06502771504824471
14,0.4064064064064064,0.03721192834779038
15,0.13,0.010984498511446464
16,0.2832832832832833,0.012421085048503824
17,0.3313253012048193,0.04536590372575182
18,0.0,0.0021045067241556308
19,0.5885885885885885,0.03356772570959298
20,0.7287287287287287,0.013242313812041266
21,0.18120805369127516,0.017327861377108983
22,0.6346346346346347,0.02319971256993276
Average,0.48881181213508046,0.021644108004516712
