Class,FNR,FPR
0,0.06224489795918367,0.004545454545454545
1,0.016740088105726872,0.007896221094190638
2,0.09496124031007752,0.014272970561998216
3,0.11782178217821782,0.013014460511679643
4,0.1109979633401222,0.01086715457972943
5,0.1446188340807175,0.010979358805445762
6,0.0720250521920668,0.0077416500774165
7,0.10700389105058365,0.007913508693713777
8,0.12114989733059549,0.015510746731664082
9,0.11793855302279485,0.012901790679568457
Average,0.09655021995700863,0.010564331628086104
